"","master_ccl_id","ccl_name","ccl_availability","ccle_primary_site","ccle_primary_hist","ccle_hist_subtype_1","sampleid","tissueid","Cellosaurus.Disease.Type","Cellosaurus.Accession.id","PharmacoDB.id","unique.tissueid.fromstudies","CellLine.Type","Metastatic"
"HCC1833",310,"HCC1833","ccle;public","lung","carcinoma","adenocarcinoma","HCC1833","Lung","Lung adenocarcinoma","CVCL_5129","HCC1833_452_2019","lung","Cancer cell line",NA
"HCC1937",313,"HCC1937","ccle;public","breast","carcinoma","ductal_carcinoma","HCC1937","Breast","Ductal breast carcinoma","CVCL_0290","HCC1937_485_2019","breast","Cancer cell line",NA
"HCC1954",314,"HCC1954","ccle;public","breast","carcinoma","ductal_carcinoma","HCC1954","Breast","Ductal breast carcinoma","CVCL_1259","HCC1954_486_2019","breast","Cancer cell line",NA
"HCC202",315,"HCC202","ccle;public","breast","carcinoma","ductal_carcinoma","HCC202","Breast","Ductal breast carcinoma","CVCL_2062","HCC202_487_2019","breast","Cancer cell line",NA
"HCC2108",316,"HCC2108","ccle;public","lung","carcinoma","adenocarcinoma","HCC2108","Lung","Lung adenocarcinoma","CVCL_A352","HCC2108_454_2019","lung","Cancer cell line",NA
"HCC2218",318,"HCC2218","ccle;public","breast","carcinoma","ductal_carcinoma","HCC2218","Breast","Ductal breast carcinoma","CVCL_1263","HCC2218_490_2019","breast","Cancer cell line",NA
"HCC2279",319,"HCC2279","ccle;public","lung","carcinoma","adenocarcinoma","HCC2279","Lung","Adenosquamous lung carcinoma","CVCL_5131","HCC2279_455_2019","lung","Cancer cell line",NA
"HCC2935",324,"HCC2935","ccle;public","lung","carcinoma","non_small_cell_carcinoma","HCC2935","Lung","Lung adenocarcinoma","CVCL_1265","HCC2935_496_2019","lung","Cancer cell line",NA
"HCC33",326,"HCC33","ccle;public","lung","carcinoma","small_cell_carcinoma","HCC33","Lung","Small cell lung carcinoma","CVCL_2058","HCC33_457_2019","lung","Cancer cell line",TRUE
"HCC366",328,"HCC366","ccle;public","lung","carcinoma","mixed_adenosquamous_carcinoma","HCC366","Lung","Adenosquamous lung carcinoma","CVCL_2059","HCC366_458_2019","lung","Cancer cell line",NA
"HCC38",330,"HCC38","ccle;public","breast","carcinoma","ductal_carcinoma","HCC38","Breast","Ductal breast carcinoma","CVCL_1267","HCC38_500_2019","breast","Cancer cell line",NA
"HCC4006",331,"HCC4006","ccle;public","lung","carcinoma","adenocarcinoma","HCC4006","Lung","Lung adenocarcinoma","CVCL_1269","HCC4006_502_2019","lung","Cancer cell line",TRUE
"HCC44",332,"HCC44","ccle;public","lung","carcinoma","adenocarcinoma","HCC44","Lung","Lung adenocarcinoma","CVCL_2060","HCC44_459_2019","lung","Cancer cell line",NA
"HCC78",339,"HCC78","ccle;public","lung","carcinoma","adenocarcinoma","HCC78","Lung","Lung adenocarcinoma","CVCL_2061","HCC78_461_2019","lung","Cancer cell line",TRUE
"HCC827",340,"HCC827","ccle;public","lung","carcinoma","adenocarcinoma","HCC827","Lung","Lung adenocarcinoma","CVCL_2063","HCC827_512_2019","lung","Cancer cell line",NA
"HCC95",342,"HCC95","ccle;public","lung","carcinoma","squamous_cell_carcinoma","HCC95","Lung","Squamous cell lung carcinoma","CVCL_5137","HCC95_463_2019","lung","Cancer cell line",TRUE
"HCT 116",343,"HCT116","ccle;public","large_intestine","carcinoma","","HCT 116","Bowel","Colon carcinoma","CVCL_0291","HCT116_517_2019","large_intestine","Cancer cell line",NA
"HCT 15",345,"HCT15","ccle;public","large_intestine","carcinoma","adenocarcinoma","HCT 15","Bowel","Colon adenocarcinoma","CVCL_0292","HCT15_518_2019","large_intestine","Cancer cell line",NA
"HCT 8",346,"HCT8","ccle;public","large_intestine","carcinoma","adenocarcinoma","HCT 8","Bowel","Colon adenocarcinoma","CVCL_2478","HCT8_519_2019","large_intestine","Cancer cell line",NA
"HD-MY-Z",348,"HDMYZ","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Hodgkin_lymphoma","HD-MY-Z","Myeloid","Adult acute myeloid leukemia","CVCL_1273","HDMYZ_520_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"HDLM-2",347,"HDLM2","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Hodgkin_lymphoma","HDLM-2","Lymphoid","Hodgkin lymphoma","CVCL_0009","HDLM2_521_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"HDQ-P1",349,"HDQP1","ccle;public","breast","carcinoma","ductal_carcinoma","HDQ-P1","Breast","Breast carcinoma","CVCL_2067","HDQP1_522_2019","breast","Cancer cell line",NA
"HEC-1-A",352,"HEC1A","ccle;public","endometrium","carcinoma","adenocarcinoma","HEC-1-A","Uterus","Endometrial adenocarcinoma","CVCL_0293","HEC1A_524_2019","endometrium","Cancer cell line",NA
"HEC-1-B",353,"HEC1B","ccle;public","endometrium","carcinoma","adenocarcinoma","HEC-1-B","Uterus","Endometrial adenocarcinoma","CVCL_0294","HEC1B_532_2019","endometrium","Cancer cell line",NA
"HEC-108",350,"HEC108","ccle;public","endometrium","carcinoma","adenocarcinoma","HEC-108","Uterus","Endometrial adenocarcinoma","CVCL_2923","HEC108_525_2019","endometrium","Cancer cell line",NA
"HEC-151",351,"HEC151","ccle;public","endometrium","carcinoma","adenocarcinoma","HEC-151","Uterus","Endometrial adenocarcinoma","CVCL_2925","HEC151_526_2019","endometrium","Cancer cell line",NA
"HEC-251",354,"HEC251","ccle;public","endometrium","carcinoma","adenocarcinoma","HEC-251","Uterus","Endometrial carcinoma","CVCL_2927","HEC251_527_2019","endometrium","Cancer cell line",NA
"HEC-265",355,"HEC265","ccle;public","endometrium","carcinoma","adenocarcinoma","HEC-265","Uterus","Endometrial adenocarcinoma","CVCL_2928","HEC265_528_2019","endometrium","Cancer cell line",NA
"HEC-50B",356,"HEC50B","ccle;public","endometrium","carcinoma","adenocarcinoma","HEC-50B","Uterus","Endometrial adenocarcinoma","CVCL_2929","HEC50B_529_2019","endometrium","Cancer cell line",TRUE
"HEC-59",357,"HEC59","ccle;public","endometrium","carcinoma","adenocarcinoma","HEC-59","Uterus","Endometrial adenocarcinoma","CVCL_2930","HEC59_530_2019","endometrium","Cancer cell line",NA
"HEC-6",358,"HEC6","ccle;public","endometrium","carcinoma","adenocarcinoma","HEC-6","Uterus","Endometrial endometrioid adenocarcinoma, variant with squamous differentiation","CVCL_2931","HEC6_531_2019","endometrium","Cancer cell line",NA
"HEL",362,"HEL","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","HEL","Myeloid","Erythroleukemia","CVCL_0001","HEL_534_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"HEL 92.1.7",363,"HEL9217","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","HEL 92.1.7","Myeloid","Erythroleukemia","CVCL_2481","HEL92.1.7_535_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"HeLa",364,"HELA","public","","","","HeLa","Cervix","Human papillomavirus-related endocervical adenocarcinoma","CVCL_0030","HeLa_536_2019","cervix","Cancer cell line",NA
"Hep 3B2.1-7",365,"HEP3B217","ccle;public","liver","carcinoma","hepatocellular_carcinoma","Hep 3B2.1-7","Liver","Hepatocellular carcinoma","CVCL_0326","Hep3B2.17_538_2019","liver","Cancer cell line",NA
"Hep-G2",366,"HEPG2","ccle;public","liver","carcinoma","hepatocellular_carcinoma","Hep-G2","Liver","Hepatoblastoma","CVCL_0027","HepG2_539_2019","liver","Cancer cell line",NA
"HEY A8",367,"HEYA8","ccle;public","ovary","carcinoma","","HEY A8","Ovary/Fallopian Tube","High grade ovarian serous adenocarcinoma","CVCL_8878","HeyA8_542_2019","ovary","Cancer cell line",NA
"HGC-27",368,"HGC27","ccle;public","stomach","carcinoma","undifferentiated_adenocarcinoma","HGC-27","Esophagus/Stomach","Gastric carcinoma","CVCL_1279","HGC27_543_2019","stomach","Cancer cell line",TRUE
"HH [Human lymphoma]",369,"HH","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","adult_T_cell_lymphoma_leukaemia","HH [Human lymphoma]","Lymphoid","Cutaneous T-cell non-Hodgkin lymphoma","CVCL_1280","HH_544_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"HL-60",371,"HL60","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","HL-60","Myeloid","Adult acute myeloid leukemia","CVCL_0002","HL60_546_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"HLF",374,"HLF","ccle;public","liver","carcinoma","hepatocellular_carcinoma","HLF","Liver","Hepatocellular carcinoma","CVCL_2947","HLF_549_2019","liver","Cancer cell line",NA
"HMC-1-8",376,"HMC18","ccle;public","breast","carcinoma","","HMC-1-8","Breast","Breast carcinoma","CVCL_2949","HMC18_552_2019","breast","Cancer cell line",TRUE
"HMCB",377,"HMCB","ccle;public","skin","malignant_melanoma","","HMCB","Skin","Melanoma","CVCL_3317","HMCB_553_2019","skin","Cancer cell line",NA
"HOP-62",381,"HOP62","public","","","","HOP-62","Lung","Lung adenocarcinoma","CVCL_1285","HOP62_561_2019","lung","Cancer cell line",NA
"HOP-92",382,"HOP92","public","","","","HOP-92","Lung","Non-small cell lung carcinoma","CVCL_1286","HOP92_562_2019","lung","Cancer cell line",NA
"HOS",383,"HOS","ccle;public","bone","osteosarcoma","","HOS","Bone","Osteosarcoma","CVCL_0312","HOS_563_2019","bone","Cancer cell line",NA
"HPAC",384,"HPAC","ccle;public","pancreas","carcinoma","ductal_carcinoma","HPAC","Pancreas","Pancreatic adenocarcinoma","CVCL_3517","HPAC_564_2019","pancreas","Cancer cell line",NA
"HPAF-II",385,"HPAFII","ccle;public","pancreas","carcinoma","ductal_carcinoma","HPAF-II","Pancreas","Pancreatic ductal adenocarcinoma","CVCL_0313","HPAFII_565_2019","pancreas","Cancer cell line",TRUE
"HPB-ALL",386,"HPBALL","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_T_cell_leukaemia","HPB-ALL","Lymphoid","Childhood T acute lymphoblastic leukemia","CVCL_1820","HPBALL_566_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Hs 294T",395,"HS294T","ccle;public","skin","malignant_melanoma","","Hs 294T","Skin","Melanoma","CVCL_0331","Hs294T_573_2019","skin","Cancer cell line",TRUE
"Hs 578Bst",399,"HS578BST","public","","","","Hs 578Bst","Other",NA,"CVCL_0807","HS578BST_617_2019",NA,"Finite cell line",NA
"Hs 578T",400,"HS578T","ccle;public","breast","carcinoma","ductal_carcinoma","Hs 578T","Breast","Invasive ductal carcinoma, not otherwise specified","CVCL_0332","Hs578T_614_2019","breast","Cancer cell line",NA
"Hs 611.T",405,"HS611T","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Hodgkin_lymphoma","Hs 611.T","Lymphoid","Hodgkin lymphoma","CVCL_0823","Hs611.T_580_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Hs 683",409,"HS683","ccle;public","central_nervous_system","glioma","","Hs 683","CNS/Brain","Oligodendroglioma","CVCL_0844","Hs683_584_2019","central_nervous_system","Cancer cell line",NA
"Hs 688(A).T",410,"HS688AT","ccle;public","skin","malignant_melanoma","","Hs 688(A).T","Skin","Melanoma","CVCL_0846","Hs688(A).T_585_2019","skin","Cancer cell line",NA
"Hs 729.T",414,"HS729","ccle;public","soft_tissue","rhabdomyosarcoma","","Hs 729.T","Soft Tissue","Embryonal rhabdomyosarcoma","CVCL_0871","Hs729_590_2019","soft_tissue","Cancer cell line",NA
"Hs 746.T",418,"HS746T","ccle;public","stomach","carcinoma","","Hs 746.T","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_0333","Hs746T_594_2019","stomach","Cancer cell line",TRUE
"Hs 766T",421,"HS766T","ccle;public","pancreas","carcinoma","ductal_carcinoma","Hs 766T","Pancreas","Pancreatic adenocarcinoma","CVCL_0334","Hs766T_596_2019","pancreas","Cancer cell line",TRUE
"Hs 822.T",424,"HS822T","ccle;public","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor","","Hs 822.T","Bone","Ewing sarcoma","CVCL_0933","Hs822.T_599_2019","bone","Cancer cell line",NA
"Hs 839.T",426,"HS839T","ccle;public","skin","malignant_melanoma","","Hs 839.T","Skin","Melanoma","CVCL_0941","Hs839.T_601_2019","skin","Cancer cell line",NA
"Hs 852.T",428,"HS852T","ccle;public","skin","malignant_melanoma","","Hs 852.T","Skin","Melanoma","CVCL_0950","Hs852.T_603_2019","skin","Cancer cell line",NA
"Hs 888.Lu",431,"HS888LU","public","","","","Hs 888.Lu","Other",NA,"CVCL_0977","HS888LU_618_2019",NA,"Finite cell line",NA
"Hs 888.T",432,"HS888T","ccle;public","bone","osteosarcoma","","Hs 888.T","Bone","Osteosarcoma","CVCL_0979","Hs888.T_606_2019","bone","Cancer cell line",NA
"Hs 895.T",434,"HS895T","ccle;public","skin","malignant_melanoma","","Hs 895.T","Skin","Melanoma","CVCL_0993","Hs895.T_607_2019","skin","Cancer cell line",NA
"Hs 934.T",436,"HS934T","ccle;public","skin","malignant_melanoma","","Hs 934.T","Skin","Melanoma","CVCL_1031","Hs934.T_608_2019","skin","Cancer cell line",NA
"Hs 936.T",437,"HS936T","ccle;public","skin","malignant_melanoma","","Hs 936.T","Skin","Melanoma","CVCL_1033","Hs936.T_609_2019","skin","Cancer cell line",NA
"Hs 940.T",439,"HS940T","ccle;public","skin","malignant_melanoma","","Hs 940.T","Skin","Cutaneous melanoma","CVCL_1038","Hs940.T_611_2019","skin","Cancer cell line",NA
"Hs 944.T",440,"HS944T","ccle;public","skin","malignant_melanoma","","Hs 944.T","Skin","Cutaneous melanoma","CVCL_1040","Hs944.T_612_2019","skin","Cancer cell line",NA
"HSC-2",441,"HSC2","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","HSC-2","Head and Neck","Oral cavity squamous cell carcinoma","CVCL_1287","HSC2_619_2019","upper_aerodigestive_tract","Cancer cell line",TRUE
"HSC-3",442,"HSC3","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","HSC-3","Head and Neck","Tongue squamous cell carcinoma","CVCL_1288","HSC3_620_2019","upper_aerodigestive_tract","Cancer cell line",TRUE
"HSC-4",443,"HSC4","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","HSC-4","Head and Neck","Tongue squamous cell carcinoma","CVCL_1289","HSC4_622_2019","upper_aerodigestive_tract","Cancer cell line",TRUE
"HT",445,"HT","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","B_cell_lymphoma","HT","Lymphoid","Diffuse large B-cell lymphoma germinal center B-cell type","CVCL_1290","HT_624_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"HT-1080",446,"HT1080","ccle;public","soft_tissue","fibrosarcoma","","HT-1080","Soft Tissue","Fibrosarcoma","CVCL_0317","HT1080_625_2019","soft_tissue","Cancer cell line",NA
"HT-1197",448,"HT1197","ccle;public","urinary_tract","carcinoma","","HT-1197","Bladder/Urinary Tract","Recurrent bladder carcinoma","CVCL_1291","HT1197_627_2019","urinary_tract","Cancer cell line",NA
"HT-1376",449,"HT1376","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","HT-1376","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1292","HT1376_628_2019","urinary_tract","Cancer cell line",NA
"HT-144",450,"HT144","ccle;public","skin","malignant_melanoma","","HT-144","Skin","Melanoma","CVCL_0318","HT144_629_2019","skin","Cancer cell line",TRUE
"HT-29",451,"HT29","ccle;public","large_intestine","carcinoma","adenocarcinoma","HT-29","Bowel","Colon adenocarcinoma","CVCL_0320","HT29_630_2019","large_intestine","Cancer cell line",NA
"HT-55",452,"HT55","ccle;public","large_intestine","carcinoma","adenocarcinoma","HT-55","Bowel","Colon carcinoma","CVCL_1294","HT55_632_2019","large_intestine","Cancer cell line",NA
"HT115",447,"HT115","ccle;public","large_intestine","carcinoma","","HT115","Bowel","Colon carcinoma","CVCL_2520","HT115_626_2019","large_intestine","Cancer cell line",NA
"HuCC-T1",455,"HUCCT1","ccle;public","biliary_tract","carcinoma","","HuCC-T1","Biliary Tract","Intrahepatic cholangiocarcinoma","CVCL_0324","HuCCT1_635_2019","biliary_tract","Cancer cell line",TRUE
"HuG1-N",456,"HUG1N","ccle;public","stomach","carcinoma","","HuG1-N","Esophagus/Stomach","Gastric tubular adenocarcinoma","CVCL_4846","HuG1N_636_2019","stomach","Cancer cell line",TRUE
"HuH-1",457,"HUH1","ccle;public","liver","carcinoma","hepatocellular_carcinoma","HuH-1","Liver","Hepatocellular carcinoma","CVCL_2956","huH1_637_2019","liver","Cancer cell line",NA
"HuH-28",458,"HUH28","ccle;public","biliary_tract","carcinoma","","HuH-28","Biliary Tract","Intrahepatic cholangiocarcinoma","CVCL_2955","HuH28_638_2019","biliary_tract","Cancer cell line",NA
"HuH-6 Clone 5",459,"HUH6","ccle;public","liver","","hepatoblastoma","HuH-6 Clone 5","Liver","Hepatoblastoma","CVCL_1296","HUH6clone5_639_2019","liver","Cancer cell line",NA
"HuNS1",461,"HUNS1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","HuNS1","Lymphoid",NA,"CVCL_2526","HuNS1_641_2019","haematopoietic_and_lymphoid_tissue","Transformed cell line",NA
"HuP-T3",462,"HUPT3","ccle;public","pancreas","carcinoma","","HuP-T3","Pancreas","Pancreatic adenocarcinoma","CVCL_1299","HuPT3_644_2019","pancreas","Cancer cell line",TRUE
"HuP-T4",463,"HUPT4","ccle;public","pancreas","carcinoma","","HuP-T4","Pancreas","Pancreatic adenocarcinoma","CVCL_1300","HuPT4_645_2019","pancreas","Cancer cell line",TRUE
"HuT 78",465,"HUT78","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Sezary_syndrome; mycosis_fungoides","HuT 78","Lymphoid","Mycosis fungoides and Sezary syndrome","CVCL_0337","HuT78_647_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"IA-LM",469,"IALM","ccle;public","lung","carcinoma","large_cell_carcinoma","IA-LM","Lung","Large cell lung carcinoma","CVCL_1302","IALM_650_2019","lung","Cancer cell line",NA
"IGR-1",470,"IGR1","ccle;public","skin","malignant_melanoma","","IGR-1","Skin","Melanoma","CVCL_1303","IGR1_651_2019","skin","Cancer cell line",TRUE
"IGR-37",471,"IGR37","ccle;public","skin","malignant_melanoma","","IGR-37","Skin","Melanoma","CVCL_2075","IGR37_652_2019","skin","Cancer cell line",TRUE
"IGR-39",472,"IGR39","ccle;public","skin","malignant_melanoma","","IGR-39","Skin","Melanoma","CVCL_2076","IGR39_653_2019","skin","Cancer cell line",NA
"IGROV-1",473,"IGROV1","ccle;public","ovary","carcinoma","adenocarcinoma","IGROV-1","Ovary/Fallopian Tube","Ovarian endometrioid adenocarcinoma","CVCL_1304","IGROV1_654_2019","ovary","Cancer cell line",NA
"IM95",474,"IM95","ccle;public","stomach","carcinoma","intestinal_adenocarcinoma","IM95","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_2961","IM95_657_2019","stomach","Cancer cell line",NA
"IMR-32",475,"IMR32","ccle;public","autonomic_ganglia","neuroblastoma","","IMR-32","Peripheral Nervous System","Neuroblastoma","CVCL_0346","IMR32_659_2019","autonomic_ganglia","Cancer cell line",NA
"IPC-298",478,"IPC298","ccle;public","skin","malignant_melanoma","","IPC-298","Skin","Cutaneous melanoma","CVCL_1307","IPC298_666_2019","skin","Cancer cell line",NA
"Ishikawa (Heraklio) 02 ER-",479,"ISHIKAWAHERAKLIO02ER","ccle;public","endometrium","carcinoma","adenocarcinoma","Ishikawa (Heraklio) 02 ER-","Uterus","Endometrial adenocarcinoma","CVCL_6543","Ishikawa(Heraklio)02ER_668_2019","endometrium","Cancer cell line",NA
"IST-Mes1",480,"ISTMES1","ccle;public","pleura","mesothelioma","","IST-Mes1","Pleura","Pleural epithelioid mesothelioma","CVCL_1311","ISTMES1_670_2019","pleura","Cancer cell line",NA
"J82",482,"J82","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","J82","Bladder/Urinary Tract","Bladder carcinoma","CVCL_0359","J82_675_2019","urinary_tract","Cancer cell line",NA
"JeKo-1",484,"JEKO1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","mantle_cell_lymphoma","JeKo-1","Lymphoid","Mantle cell lymphoma","CVCL_1865","JeKo1_678_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"JHH-1",486,"JHH1","ccle;public","liver","carcinoma","hepatocellular_carcinoma","JHH-1","Liver","Hepatocellular carcinoma","CVCL_2785","JHH1_680_2019","liver","Cancer cell line",NA
"JHH-2",487,"JHH2","ccle;public","liver","carcinoma","hepatocellular_carcinoma","JHH-2","Liver","Hepatocellular carcinoma","CVCL_2786","JHH2_681_2019","liver","Cancer cell line",TRUE
"JHH-4",488,"JHH4","ccle;public","liver","carcinoma","hepatocellular_carcinoma","JHH-4","Liver","Hepatocellular carcinoma","CVCL_2787","JHH4_682_2019","liver","Cancer cell line",NA
"JHH-5",489,"JHH5","ccle;public","liver","carcinoma","hepatocellular_carcinoma","JHH-5","Liver","Hepatocellular carcinoma","CVCL_0364","JHH5_683_2019","liver","Cancer cell line",NA
"JHH-6",490,"JHH6","ccle;public","liver","carcinoma","hepatocellular_carcinoma","JHH-6","Liver","Hepatocellular carcinoma","CVCL_2788","JHH6_684_2019","liver","Cancer cell line",NA
"JHOC-5",492,"JHOC5","ccle;public","ovary","carcinoma","clear_cell_carcinoma","JHOC-5","Ovary/Fallopian Tube","Ovarian clear cell adenocarcinoma","CVCL_4640","JHOC5_686_2019","ovary","Cancer cell line",NA
"JHOM-1",493,"JHOM1","ccle;public","ovary","carcinoma","adenocarcinoma","JHOM-1","Ovary/Fallopian Tube","Ovarian mucinous adenocarcinoma","CVCL_4644","JHOM1_687_2019","ovary","Cancer cell line",NA
"JHOS-2",495,"JHOS2","ccle;public","ovary","carcinoma","adenocarcinoma","JHOS-2","Ovary/Fallopian Tube","High grade ovarian serous adenocarcinoma","CVCL_4647","JHOS2_689_2019","ovary","Cancer cell line",NA
"JHUEM-1",497,"JHUEM1","ccle;public","endometrium","carcinoma","adenocarcinoma","JHUEM-1","Uterus","Endometrial adenocarcinoma","CVCL_4655","JHUEM1_698_2019","endometrium","Cancer cell line",NA
"JHUEM-2",498,"JHUEM2","ccle;public","endometrium","carcinoma","adenocarcinoma","JHUEM-2","Uterus","Endometrial adenocarcinoma","CVCL_4656","JHUEM2_699_2019","endometrium","Cancer cell line",NA
"JHUEM-3",499,"JHUEM3","ccle;public","endometrium","carcinoma","adenocarcinoma","JHUEM-3","Uterus","Endometrial adenocarcinoma","CVCL_4657","JHUEM3_700_2019","endometrium","Cancer cell line",NA
"JHUEM-7",500,"JHUEM7","ccle;public","endometrium","carcinoma","adenocarcinoma","JHUEM-7","Uterus","Endometrial adenocarcinoma","CVCL_4658","JHUEM7_701_2019","endometrium","Cancer cell line",NA
"JIMT-1",501,"JIMT1","ccle;public","breast","carcinoma","ductal_carcinoma","JIMT-1","Breast","Ductal breast carcinoma","CVCL_2077","JIMT1_702_2019","breast","Cancer cell line",TRUE
"JJN-3",502,"JJN3","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","JJN-3","Lymphoid","Plasma cell myeloma","CVCL_2078","JJN3_706_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"JK-1",503,"JK1","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","blast_phase; chronic_myeloid_leukaemia","JK-1","Myeloid","Chronic myelogenous leukemia, BCR-ABL1 positive","CVCL_2079","JK1_707_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"JL-1",504,"JL1","ccle;public","pleura","mesothelioma","","JL-1","Pleura","Pleural epithelioid mesothelioma","CVCL_2080","JL1_708_2019","pleura","Cancer cell line",NA
"JM-1",505,"JM1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","B_cell_lymphoma","JM-1","Lymphoid","B acute lymphoblastic leukemia","CVCL_3532","JM1_709_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"JMSU-1",506,"JMSU1","ccle;public","urinary_tract","carcinoma","","JMSU-1","Bladder/Urinary Tract","Bladder carcinoma","CVCL_2081","JMSU1_710_2019","urinary_tract","Cancer cell line",TRUE
"Jurkat",508,"JURKAT","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_T_cell_leukaemia","Jurkat","Lymphoid","Childhood T acute lymphoblastic leukemia","CVCL_0065","JURKAT_712_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"JURL-MK1",509,"JURLMK1","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","blast_phase; chronic_myeloid_leukaemia","JURL-MK1","Myeloid","Chronic myelogenous leukemia, BCR-ABL1 positive","CVCL_2086","JURLMK1_714_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"JVM-2",510,"JVM2","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","chronic_lymphocytic_leukaemia; small_lymphocytic_lymphoma","JVM-2","Lymphoid","Mantle cell lymphoma","CVCL_1319","JVM2_715_2019","haematopoietic_and_lymphoid_tissue","Transformed cell line",NA
"JVM-3",511,"JVM3","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","chronic_lymphocytic_leukaemia; small_lymphocytic_lymphoma","JVM-3","Lymphoid","B-cell prolymphocytic leukemia","CVCL_1320","JVM3_716_2019","haematopoietic_and_lymphoid_tissue","Transformed cell line",NA
"K-562",513,"K562","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","blast_phase; chronic_myeloid_leukaemia","K-562","Myeloid","Chronic myelogenous leukemia, BCR-ABL1 positive","CVCL_0004","K562_717_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"K029AX",512,"K029AX","ccle;public","skin","malignant_melanoma","","K029AX","Skin","Cutaneous melanoma","CVCL_8784","K029AX_718_2019","skin","Cancer cell line",NA
"KALS-1",514,"KALS1","ccle;public","central_nervous_system","glioma","","KALS-1","CNS/Brain","Glioblastoma","CVCL_1323","KALS1_726_2019","central_nervous_system","Cancer cell line",NA
"Karpas-299",515,"KARPAS299","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","anaplastic_large_cell_lymphoma","Karpas-299","Lymphoid","Anaplastic large cell lymphoma","CVCL_1324","KARPAS299_729_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Karpas-422",516,"KARPAS422","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","diffuse_large_B_cell_lymphoma","Karpas-422","Lymphoid","Diffuse large B-cell lymphoma germinal center B-cell type","CVCL_1325","KARPAS422_730_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Karpas-620",517,"KARPAS620","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","Karpas-620","Lymphoid","Plasma cell myeloma","CVCL_1823","KARPAS620_732_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
